Gene	ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	contrast	abs_fc
DNMBP	Q6XZF7	-0.676435553336756	25.5307800854106	-4.47910132006733	0.000439128241801341	0.00339717450276331	-0.37320789639301	MAEA_control-MAEA_knockout	0.676435553336756
PRUNE2	Q8WUY3	6.26350400810261	25.9707089232285	4.39742788126335	0.000517109585278552	0.00386425088046591	-0.5379685420557	MAEA_control-MAEA_knockout	6.26350400810261
ATP6V0D1	P61421	0.795987184141925	27.8465250283512	4.39230305313384	0.000522451745307091	0.00390085466249679	-0.548321952109748	MAEA_control-MAEA_knockout	0.795987184141925
DDAH1	O94760	0.617134652290165	26.9494186277095	4.38242719409666	0.000532906183445417	0.00396069797463857	-0.56827840956262	MAEA_control-MAEA_knockout	0.617134652290165
AFAP1	Q8N556	-0.889667708033873	26.5596776269583	-4.36213993519534	0.000555058298113851	0.00411286030676604	-0.609293007529653	MAEA_control-MAEA_knockout	0.889667708033873
ITGA5	P08648	0.681894005713183	29.1617353898984	4.35799431659643	0.000559699633056279	0.00413678753179023	-0.617677348026557	MAEA_control-MAEA_knockout	0.681894005713183
CCNB2	O95067	-0.657055054759343	25.1752930243754	-4.35457054881856	0.000563562703400424	0.00415834511963302	-0.624602576589821	MAEA_control-MAEA_knockout	0.657055054759343
CHMP5	Q9NZZ3	0.909295154961114	28.1081182050557	4.31860525357095	0.000605827619848528	0.00439275010167398	-0.697392138078073	MAEA_control-MAEA_knockout	0.909295154961114
IRGQ	Q8WZA9	-1.0386255397088	26.4222817354346	-4.30831612537423	0.000618504885398818	0.00447359747562536	-0.718230152240627	MAEA_control-MAEA_knockout	1.0386255397088
ANPEP	P15144	-1.64170167635028	26.8690817501446	-4.30302399085983	0.000625130530275698	0.00451282793827224	-0.728950386985439	MAEA_control-MAEA_knockout	1.64170167635028
CIRBP	Q14011	-0.651766011856388	27.3327908429847	-4.28962551051955	0.000642231107231527	0.00461482172555246	-0.756098635980924	MAEA_control-MAEA_knockout	0.651766011856388
PARP4	Q9UKK3	0.593449817991605	24.8825777776584	4.28607469161404	0.000646842594978709	0.00464416072277197	-0.763295044514	MAEA_control-MAEA_knockout	0.593449817991605
WDR6	Q9NNW5	-0.585537372322133	26.1151668762137	-4.25917552229613	0.000682893022960915	0.00486720509795663	-0.817833502714781	MAEA_control-MAEA_knockout	0.585537372322133
EPHA2	P29317	-1.23755738091893	27.0242098641871	-4.23712742454405	0.000713967364571329	0.00500346507165298	-0.86256462920025	MAEA_control-MAEA_knockout	1.23755738091893
PC	P11498	0.867020966248266	27.6167249907701	4.23236363241962	0.000720868754027582	0.00502378636827469	-0.87223263101185	MAEA_control-MAEA_knockout	0.867020966248266
PTCD3	Q96EY7	0.601816053772765	25.9980407044048	4.22349163315888	0.000733903664679242	0.00508922989784528	-0.890241128092423	MAEA_control-MAEA_knockout	0.601816053772765
LANCL1	O43813	0.678204940089682	28.2721030461397	4.22252510959418	0.000735338142035103	0.00509231803956225	-0.892203222363716	MAEA_control-MAEA_knockout	0.678204940089682
RNASEH2B	Q5TBB1	-3.93683833135403	23.2080059183987	-4.20911374699221	0.000755540402546494	0.00520351807020265	-0.919433637688335	MAEA_control-MAEA_knockout	3.93683833135403
HMOX1	P09601	1.60336878097241	27.92058573404	4.20675105307843	0.000759157652966853	0.00522433629935216	-0.92423173379013	MAEA_control-MAEA_knockout	1.60336878097241
ITGA1	P56199	-1.03187193991458	26.6285393765124	-4.20398360197777	0.000763417036753539	0.00523724349647939	-0.92985213260167	MAEA_control-MAEA_knockout	1.03187193991458
TAGLN	Q01995	1.10598412948385	32.8554686576931	4.20179783007416	0.000766798369562344	0.005256337029418	-0.93429145504401	MAEA_control-MAEA_knockout	1.10598412948385
FMNL2	Q96PY5	-5.54312703046355	22.3447875833352	-4.20118354061527	0.000767751404514716	0.0052587679991234	-0.935539122373271	MAEA_control-MAEA_knockout	5.54312703046355
ENO3	P13929	4.61583152515241	24.9932619124425	4.19760901404646	0.000773321079010874	0.00528867365163234	-0.942799595884623	MAEA_control-MAEA_knockout	4.61583152515241
CENPB	P07199	-4.21293750362587	23.1637870111834	-4.17301256660143	0.000812779387163424	0.00552413399411614	-0.992774819766244	MAEA_control-MAEA_knockout	4.21293750362587
PHF3	Q92576	-0.630149963736557	26.2161277221001	-4.16402771295668	0.000827699463745162	0.00558665352334292	-1.0110369149046	MAEA_control-MAEA_knockout	0.630149963736557
ADARB1	P78563	-5.36659482527783	21.9669072511591	-4.15889681286926	0.0008363445722459	0.00562340941155086	-1.02146722254172	MAEA_control-MAEA_knockout	5.36659482527783
PTGR1	Q14914	0.950880306019908	29.3884155522986	4.14652623418079	0.000857567973806758	0.00573754955394976	-1.0466191380472	MAEA_control-MAEA_knockout	0.950880306019908
ID1	P41134	-4.92672288591891	21.7405716036393	-4.14634076038467	0.000857890317921027	0.00573754955394976	-1.04699629170514	MAEA_control-MAEA_knockout	4.92672288591891
PHIP	Q8WWQ0	-0.853701889251049	25.2644603774944	-4.13980579454784	0.000869326847520369	0.00578393051696293	-1.06028576784442	MAEA_control-MAEA_knockout	0.853701889251049
TOR1AIP2	Q8NFQ8	-2.23025834572744	23.0782145945051	-4.13974587088753	0.000869432432055989	0.00578393051696293	-1.06040763619528	MAEA_control-MAEA_knockout	2.23025834572744
CACNA2D1	P54289	0.718441832701849	25.9381576838491	4.12508916785752	0.000895653368782332	0.0059136001539137	-1.09021957756824	MAEA_control-MAEA_knockout	0.718441832701849
MAP7D3	Q8IWC1	-0.663647869951092	25.7571170623447	-4.10596492470659	0.000931081238072539	0.00611601844443107	-1.12913076528017	MAEA_control-MAEA_knockout	0.663647869951092
L3HYPDH	Q96EM0	-0.861927415636593	26.0027897634277	-4.10591127809478	0.000931182598844877	0.00611601844443107	-1.12923993627086	MAEA_control-MAEA_knockout	0.861927415636593
UQCRH	P07919	0.80486247667756	28.1579428517072	4.10418983546994	0.000934441086053551	0.0061272866956322	-1.13274313093499	MAEA_control-MAEA_knockout	0.80486247667756
RIPOR1	Q6ZS17	-4.18039455639985	23.4463213455992	-4.09485923189747	0.000952305701385247	0.00621296399686233	-1.15173304821884	MAEA_control-MAEA_knockout	4.18039455639985
ERCC3	P19447	-3.8649755471134	23.4719295658027	-4.0895761130006	0.000962574525267454	0.00625673441423845	-1.16248674442952	MAEA_control-MAEA_knockout	3.8649755471134
IGFBP7	Q16270	0.623935465137397	27.4842104844436	4.06309168987121	0.00101577504666921	0.00653008859555893	-1.21640923706753	MAEA_control-MAEA_knockout	0.623935465137397
UFC1	Q9Y3C8	0.641219837116566	27.8427707174254	4.05680601770145	0.00102883437673178	0.00658993914192335	-1.22921016745745	MAEA_control-MAEA_knockout	0.641219837116566
RIN1	Q13671	-5.57449678684682	22.1726952067498	-4.04961541611196	0.00104398321569148	0.00666998709301521	-1.2438554632542	MAEA_control-MAEA_knockout	5.57449678684682
P4HA2	O15460	0.625904295966606	28.2640191449992	4.04501344327222	0.00105379719299301	0.00669946567923408	-1.25322922237257	MAEA_control-MAEA_knockout	0.625904295966606
NOP53	Q9NZM5	-0.599118948986824	26.1079061476476	-4.04186690179779	0.00106056127950555	0.00671969179833799	-1.2596387628409	MAEA_control-MAEA_knockout	0.599118948986824
FHL2	Q14192	-0.586825277937539	28.748836174752	-4.03928597294946	0.00106614238975122	0.00674047433175085	-1.26489635296865	MAEA_control-MAEA_knockout	0.586825277937539
TXN2	Q99757	4.82075127167537	21.9658358356849	4.0174960612072	0.00111446707475774	0.00700066951606218	-1.30929162439849	MAEA_control-MAEA_knockout	4.82075127167537
PDE3A	Q14432	1.22389139870216	28.596304851788	3.99533664030862	0.00116589415379763	0.00727692118326068	-1.35445204247495	MAEA_control-MAEA_knockout	1.22389139870216
TCIRG1	Q13488	0.689291794122781	25.2434947740575	3.99125582993661	0.00117562426794048	0.00731457258880211	-1.36276989167152	MAEA_control-MAEA_knockout	0.689291794122781
PTPRF	P10586	-0.701351705049252	26.5811348639559	-3.98561202726948	0.00118921705693574	0.00737012658416875	-1.37427416490496	MAEA_control-MAEA_knockout	0.701351705049252
SLC12A4	Q9UP95	0.720882491092986	24.7693800065236	3.98338423624336	0.00119462636502452	0.00739322288439117	-1.37881546082875	MAEA_control-MAEA_knockout	0.720882491092986
PRPS2	P11908	-0.768111038982145	27.9447711353795	-3.97683893178299	0.00121066388985004	0.00746618544842254	-1.39215849756591	MAEA_control-MAEA_knockout	0.768111038982145
G6PD	P11413	0.635720354880931	30.6808758604331	3.96734710626568	0.00123430993447648	0.00758539559732817	-1.41150974004552	MAEA_control-MAEA_knockout	0.635720354880931
PALM2	Q8IXS6	0.808888791274605	26.2408433188548	3.96406829927547	0.00124258650243829	0.00762027228431797	-1.41819473586214	MAEA_control-MAEA_knockout	0.808888791274605
CDC20	Q12834	-4.41018781765815	25.0803687719833	-3.95188134776124	0.00127384599686149	0.0077739990419575	-1.44304381585484	MAEA_control-MAEA_knockout	4.41018781765815
MGMT	P16455	3.98651701985746	24.4766340536124	3.95082905279904	0.00127658224542378	0.00777989235283231	-1.44518955711247	MAEA_control-MAEA_knockout	3.98651701985746
PTK7	Q13308	-4.56796558132053	22.5902769107708	-3.94917442213635	0.00128089678357636	0.00779537460808106	-1.44856356255726	MAEA_control-MAEA_knockout	4.56796558132053
