Gene	ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	contrast
CNDP2	Q96KP4	-0.309035532525574	28.6831707519683	-6.09134617077588	2.04500018379748e-05	0.000319776897067833	2.6610831231001	RMND5A_control-RMND5A_knockout
ATP5PD	O75947	0.30019830528904	29.7371331055142	6.08297998839107	2.07597780448367e-05	0.000323469733081605	2.64570031036558	RMND5A_control-RMND5A_knockout
CLTC	Q00610	0.324074961319965	31.5538553674931	6.07753062813816	2.09641803506649e-05	0.000326076490126802	2.63567552055683	RMND5A_control-RMND5A_knockout
STT3A	P46977	0.390621286287395	28.3276400989998	6.06671457673523	2.1376123602862e-05	0.000329056827719083	2.61576609379273	RMND5A_control-RMND5A_knockout
DIAPH3	Q9NSV4	0.617800365238672	26.6238355118069	6.06660197881858	2.1380456147883e-05	0.000329056827719083	2.61555874807672	RMND5A_control-RMND5A_knockout
HIBCH	Q6NVY1	0.485710645377679	26.8939352344508	6.06302456993573	2.1518585401349e-05	0.00033060372116618	2.60897016177692	RMND5A_control-RMND5A_knockout
SNX2	O60749	-0.469499607839076	27.107840437471	-6.05177192297191	2.19591644226951e-05	0.000336783834112818	2.58823463500077	RMND5A_control-RMND5A_knockout
CKAP4	Q07065	-0.362318813806507	29.8240667039714	-6.04952170131251	2.20483906733971e-05	0.000337563165919536	2.58408604039768	RMND5A_control-RMND5A_knockout
PLEC	Q15149	0.222264967902319	32.5546367149856	6.02867387100866	2.2893244678199e-05	0.000348675622585811	2.54561762775749	RMND5A_control-RMND5A_knockout
SPTLC1	O15269	-0.437725241118819	27.0919461631676	-6.01218234387272	2.35854307360564e-05	0.000357977142156241	2.51514588262372	RMND5A_control-RMND5A_knockout
PTPRF	P10586	-0.941682658754864	26.5811348639559	-5.98299642042831	2.48643952107442e-05	0.000375443823216529	2.46112859510234	RMND5A_control-RMND5A_knockout
MRPL11	Q9Y3B7	0.50528227427327	27.2732675239485	5.9795336935745	2.50208612769395e-05	0.000377158368613626	2.45471217631261	RMND5A_control-RMND5A_knockout
SDF4	Q9BRK5	6.32437096588957	24.1524455693826	5.96097448727165	2.58771340779543e-05	0.000389397695679902	2.42029459143692	RMND5A_control-RMND5A_knockout
CORO2A	Q92828	-0.643354331224899	25.6215035099722	-5.94945722272258	2.64238096708269e-05	0.000396944340832866	2.39891287277243	RMND5A_control-RMND5A_knockout
SHMT2	P34897	0.309175124157928	29.6918697351334	5.93421112535505	2.7166039794028e-05	0.000406012172976051	2.37058127241451	RMND5A_control-RMND5A_knockout
PITRM1	Q5JRX3	0.468597437782268	27.0233188782061	5.92998047704116	2.73758268062786e-05	0.000408452913367702	2.36271400740776	RMND5A_control-RMND5A_knockout
ZMPSTE24	O75844	0.679693497149078	28.2623414187311	5.92875450832355	2.74369342229822e-05	0.000408670810087403	2.36043376282987	RMND5A_control-RMND5A_knockout
TXNDC5	Q8NBS9	-0.419166156216672	30.4020049972231	-5.92750616997618	2.74993026103818e-05	0.000408906719695491	2.35811170533757	RMND5A_control-RMND5A_knockout
CARS2	Q9HA77	6.55191918846463	24.3005903255619	5.91979563217247	2.78878161867214e-05	0.000413285208514178	2.34376457458597	RMND5A_control-RMND5A_knockout
CD2AP	Q9Y5K6	-0.655077292577751	27.3159662580825	-5.91427401312629	2.81695450870264e-05	0.000416159430407636	2.33348552386659	RMND5A_control-RMND5A_knockout
IDH1	O75874	0.696110017619951	29.4178628588554	5.91413892174712	2.81764748626017e-05	0.000416159430407636	2.3332339866372	RMND5A_control-RMND5A_knockout
GLA	P06280	6.18599974440019	25.2655139929505	5.90907421197736	2.84375639697396e-05	0.000419310926453141	2.32380184948783	RMND5A_control-RMND5A_knockout
LASP1	Q14847	-0.776918995462712	31.3002234321141	-5.90610850293373	2.85916164583938e-05	0.000420172450562483	2.31827714611224	RMND5A_control-RMND5A_knockout
PGM1	P36871	0.357213125015875	28.1378426193679	5.90466989230651	2.86666572098219e-05	0.000420571925809541	2.31559679221673	RMND5A_control-RMND5A_knockout
CHCHD3	Q9NX63	0.54740612940142	29.0282414884745	5.89671598497947	2.90852659993256e-05	0.000425604019669258	2.30077245546662	RMND5A_control-RMND5A_knockout
VASP	P50552	-0.812757092279281	29.3716893961735	-5.89631550253832	2.9106510676061e-05	0.000425604019669258	2.30002582126214	RMND5A_control-RMND5A_knockout
QKI	Q96PU8	-0.533398238049472	27.1994985453116	-5.89417674936091	2.92202404821061e-05	0.000426557264712207	2.29603810312086	RMND5A_control-RMND5A_knockout
IKBIP	Q70UQ0	-0.420162615358468	28.2313315761093	-5.88846467947204	2.95262576209396e-05	0.000429597271478174	2.28538492951565	RMND5A_control-RMND5A_knockout
PSMC5	P62195	0.209321526079908	29.287673892239	5.88206332466505	2.98731705297211e-05	0.000432496577619751	2.27344106128393	RMND5A_control-RMND5A_knockout
LZTFL1	Q9NQ48	-0.554583587839787	26.3055284602582	-5.87610791042048	3.01997270599622e-05	0.000436347697304466	2.26232435226342	RMND5A_control-RMND5A_knockout
EIF3B	P55884	0.220895151720356	29.9256098280495	5.87443660792763	3.02920366801161e-05	0.000436403964499771	2.25920375876209	RMND5A_control-RMND5A_knockout
IDH3B	O43837	0.42643276255216	28.1877957216308	5.87244332890669	3.04025139209007e-05	0.000436564203164829	2.25548149761157	RMND5A_control-RMND5A_knockout
ALCAM	Q13740	-0.989047586984988	27.8950896277207	-5.86605389032808	3.07594833336827e-05	0.000439535511441307	2.24354626615266	RMND5A_control-RMND5A_knockout
DNAJC9	Q8WXX5	-0.294286938307202	28.5306160877805	-5.86473747843006	3.08335699789836e-05	0.000439703067074977	2.24108658497999	RMND5A_control-RMND5A_knockout
RRBP1	Q9P2E9	-0.539689982387191	29.7916695662963	-5.8636432963368	3.08952910464129e-05	0.000439703067074977	2.23904195941296	RMND5A_control-RMND5A_knockout
DPF2	Q92785	-0.762337827323211	26.2408229122664	-5.86092578859605	3.10491382728763e-05	0.000440807475189074	2.23396324581349	RMND5A_control-RMND5A_knockout
YWHAH	Q04917	-0.370658572981309	30.5754615625286	-5.85367653314271	3.14634561174834e-05	0.000445250969984612	2.22041042040933	RMND5A_control-RMND5A_knockout
EIF2AK2	P19525	0.363363346476174	27.7028763796454	5.84804162781329	3.17894813717296e-05	0.000448358373769285	2.20987088924073	RMND5A_control-RMND5A_knockout
VARS1	P26640	0.384036053156795	29.4591709075591	5.84724084819417	3.18360975457481e-05	0.000448358373769285	2.20837276923239	RMND5A_control-RMND5A_knockout
CUL4B	Q13620	-0.447601465784661	28.5343233241634	-5.84335313791362	3.20634279409647e-05	0.000450837447592316	2.20109833020708	RMND5A_control-RMND5A_knockout
PPM1G	O15355	0.351564087501544	28.7247254423743	5.81233812513923	3.3938613471e-05	0.000474924419081446	2.14299346141915	RMND5A_control-RMND5A_knockout
FARSB	Q9NSD9	0.390982641893697	29.08672859873	5.8075102325392	3.42406202284836e-05	0.000478388824432295	2.1339372643816	RMND5A_control-RMND5A_knockout
CAVIN1	Q6NZI2	-0.779206697382193	30.3847095321199	-5.80308242023948	3.45200584183733e-05	0.000481527418064547	2.12562884274559	RMND5A_control-RMND5A_knockout
EIF4E2	O60573	0.598309795561871	26.8525008164806	5.79123082495433	3.52797450841977e-05	0.000491344532171046	2.10337761937223	RMND5A_control-RMND5A_knockout
MRPS7	Q9Y2R9	0.394337101893292	27.0795823073861	5.75809335794295	3.74975504123855e-05	0.000515861652713338	2.04106460779816	RMND5A_control-RMND5A_knockout
RCC1L	Q96I51	0.38623413462841	26.0531553851266	5.75012541517669	3.80521399764573e-05	0.00052250344705173	2.02605993423051	RMND5A_control-RMND5A_knockout
NUMA1	Q14980	-0.308681641535664	29.6649778302079	-5.74774042274044	3.8219795185965e-05	0.000523986833220375	2.02156707036822	RMND5A_control-RMND5A_knockout
TCAF1	Q9Y4C2	-0.681770631661092	25.7191399923101	-5.74511395692684	3.84053140168476e-05	0.000525127974149801	2.01661845835978	RMND5A_control-RMND5A_knockout
RFTN1	Q14699	-1.07764489035944	26.1037759779942	-5.73399780040347	3.92009259890606e-05	0.000534105019522271	1.9956641741375	RMND5A_control-RMND5A_knockout
ALDOA	P04075	0.281723618458877	33.6420649680553	5.72158921487363	4.01093165198941e-05	0.000543951656754366	1.97225461254659	RMND5A_control-RMND5A_knockout
PTPN1	P18031	-0.332346137359846	27.6192314591522	-5.71787153306772	4.03857153436294e-05	0.00054601487144587	1.96523707783421	RMND5A_control-RMND5A_knockout
AHNAK	Q09666	-0.676156531816879	33.3371181298982	-5.71559780054073	4.05557359532871e-05	0.00054747128657064	1.96094427169712	RMND5A_control-RMND5A_knockout
CRKL	P46109	-0.356948273262397	27.5008565722064	-5.71291577030706	4.07572443979678e-05	0.000549347643818008	1.95587973652523	RMND5A_control-RMND5A_knockout
RAB3GAP2	Q9H2M9	0.704540673775551	26.5583100594419	5.71109626460318	4.08945413175879e-05	0.000550354102754919	1.95244339322465	RMND5A_control-RMND5A_knockout
TFB2M	Q9H5Q4	0.898344201095568	26.1973557055359	5.70479874126446	4.13734655545024e-05	0.000555038534172385	1.94054648842147	RMND5A_control-RMND5A_knockout
VPS4B	O75351	-0.238028619963753	27.8883766125194	-5.69603894815024	4.20493602660489e-05	0.000559278703550104	1.92398946143598	RMND5A_control-RMND5A_knockout
RPP30	P78346	-0.381767927452209	27.2417825741966	-5.69566884510894	4.20781684096109e-05	0.000559278703550104	1.92328970484708	RMND5A_control-RMND5A_knockout
SPTBN2	O15020	-0.706770992154151	26.3664377579577	-5.69503624173779	4.21274566081616e-05	0.000559278703550104	1.92209359586352	RMND5A_control-RMND5A_knockout
CDKN2AIP	Q9NXV6	1.19824113499186	26.1180733130011	5.69340282992937	4.22549987779623e-05	0.000559278703550104	1.91900494638536	RMND5A_control-RMND5A_knockout
BICD2	Q8TD16	-0.848869440913269	25.9423453742996	-5.69255464965511	4.23213857374623e-05	0.000559278703550104	1.91740096996491	RMND5A_control-RMND5A_knockout
PLOD2	O00469	0.609623472124458	28.8862184816295	5.68556566680111	4.28725566353565e-05	0.000565711753320589	1.90418070467917	RMND5A_control-RMND5A_knockout
GSTP1	P09211	0.365338555378408	32.7967856254582	5.68382851398103	4.30107075927998e-05	0.000566683805585495	1.90089375012531	RMND5A_control-RMND5A_knockout
DDX52	Q9Y2R4	0.577333720512915	26.2243490147408	5.67933480380685	4.33702306024224e-05	0.000570387505460356	1.89238916575654	RMND5A_control-RMND5A_knockout
TBRG4	Q969Z0	0.367967521572574	28.421073083985	5.67869558412927	4.34216250743034e-05	0.000570387505460356	1.89117919684216	RMND5A_control-RMND5A_knockout
STK10	O94804	-1.24379631606874	24.9891154039356	-5.67441457189125	4.37674620307569e-05	0.000573216775449019	1.88307437661902	RMND5A_control-RMND5A_knockout
TOR1B	O14657	-0.589363645606564	25.6524894193284	-5.67206628812645	4.39583801733959e-05	0.000573829704211911	1.87862759734576	RMND5A_control-RMND5A_knockout
SORBS2	O94875	6.68742593237668	23.7159734372609	5.67143131700323	4.40101525533486e-05	0.000573829704211911	1.87742507519753	RMND5A_control-RMND5A_knockout
MCM4	P33991	0.37195374270771	29.2712094652646	5.65739272258126	4.51711227480037e-05	0.000584630083519082	1.8508252105342	RMND5A_control-RMND5A_knockout
EHD2	Q9NZN4	-0.646826373278238	28.8867955640524	-5.65406076597155	4.54513147109316e-05	0.00058652886002888	1.84450820516029	RMND5A_control-RMND5A_knockout
MRC2	Q9UBG0	0.878694904087101	25.8366179949005	5.64281602546058	4.64103158657556e-05	0.000597039032790733	1.82317894530531	RMND5A_control-RMND5A_knockout
CNOT7	Q9UIV1	-0.366812509843278	26.1101043852521	-5.63179840138408	4.73703511072499e-05	0.000607723570117536	1.80226475315652	RMND5A_control-RMND5A_knockout
CLIC3	O95833	-1.9314805998629	26.7170501293624	-5.62567488945405	4.79128290417309e-05	0.000612893655922461	1.79063408320741	RMND5A_control-RMND5A_knockout
CLASP1	Q7Z460	0.396046981970567	26.9187012018942	5.6086045003337	4.94594191369343e-05	0.000630470134991914	1.75818620563584	RMND5A_control-RMND5A_knockout
COPS4	Q9BT78	0.282389141486004	28.3776588938547	5.60814138598695	4.9502092984117e-05	0.000630470134991914	1.75730538677869	RMND5A_control-RMND5A_knockout
RAB34	P0DI83	0.457264689820587	27.4900739033973	5.59776731471109	5.04681054512984e-05	0.000637528244082554	1.73756729523604	RMND5A_control-RMND5A_knockout
PPA2	Q9H2U2	0.340788445021801	28.5328743392338	5.59725842476449	5.05159930527696e-05	0.000637528244082554	1.73659870997051	RMND5A_control-RMND5A_knockout
